Rnd.,Pick #,NFL Team,Player,Pos.,College,Conf.,Notes
1,1,Indianapolis Colts,Andrew Luck,QB,Stanford,,
1,2,Washington Redskins,Robert Griffin III,QB,Baylor,,From STL
1,3,Cleveland Browns,Trent Richardson,RB,Alabama,,From MIN
1,4,Minnesota Vikings,Matt Kalil,OT,Southern California,,From CLE
1,5,Jacksonville Jaguars,Justin Blackmon,WR,Oklahoma State,,From TB
1,6,Dallas Cowboys,Morris Claiborne,DB,Louisiana State,,From WAS through STL
1,7,Tampa Bay Buccaneers,Mark Barron,DB,Alabama,,From JAX
1,8,Miami Dolphins,Ryan Tannehill,QB,Texas A&M,,
1,9,Carolina Panthers,Luke Kuechly,LB,Boston College,,
1,10,Buffalo Bills,Stephon Gilmore,DB,South Carolina,,
1,11,Kansas City Chiefs,Dontari Poe,DT,Memphis,,
1,12,Philadelphia Eagles,Fletcher Cox,DT,Mississippi State,,From SEA
1,13,Arizona Cardinals,Michael Floyd,WR,Notre Dame,,
1,14,St. Louis Rams,Michael Brockers,DT,Louisiana State,,From DAL
1,15,Seattle Seahawks,Bruce Irvin,LB,West Virginia,,From PHI
1,16,New York Jets,Quinton Coples,LB,North Carolina,,
1,17,Cincinnati Bengals,Dre Kirkpatrick,DB,Alabama,,From OAK
1,18,San Diego Chargers,Melvin Ingram,LB,South Carolina,,
1,19,Chicago Bears,Shea McClellin,LB,Boise State,,
1,20,Tennessee Titans,Kendall Wright,WR,Baylor,,
1,21,New England Patriots,Chandler Jones,DE,Syracuse,,From CIN
1,22,Cleveland Browns,Brandon Weeden,QB,Oklahoma State,,From ATL
1,23,Detroit Lions,Riley Reiff,OT,Iowa,,
1,24,Pittsburgh Steelers,David DeCastro,OG,Stanford,,
1,25,New England Patriots,Dont'a Hightower,LB,Alabama,,From DEN
1,26,Houston Texans,Whitney Mercilus,LB,Illinois,,
1,27,Cincinnati Bengals,Kevin Zeitler,OG,Wisconsin,,From NO through NE
1,28,Green Bay Packers,Nick Perry,LB,Southern California,,
1,29,Minnesota Vikings,Harrison Smith,DB,Notre Dame,,From BAL
1,30,San Francisco 49ers,A.J. Jenkins,WR,Illinois,,
1,31,Tampa Bay Buccaneers,Doug Martin,RB,Boise State,,From NE through DEN
1,32,New York Giants,David Wilson,RB,Virginia Tech,,
2,33,St. Louis Rams,Brian Quick,WR,Appalachian State,,
2,34,Indianapolis Colts,Coby Fleener,TE,Stanford,,
2,35,Baltimore Ravens,Courtney Upshaw,LB,Alabama,,From MIN
2,36,Denver Broncos,Derek Wolfe,DE,Cincinnati,,From TB
2,37,Cleveland Browns,Mitchell Schwartz,OT,California,,
2,38,Jacksonville Jaguars,Andre Branch,DE,Clemson,,
2,39,St. Louis Rams,Janoris Jenkins,DB,North Alabama,,From WAS
2,40,Carolina Panthers,Amini Silatolu,OG,Midwestern State,,
2,41,Buffalo Bills,Cordy Glenn,OT,Georgia,,
2,42,Miami Dolphins,Jonathan Martin,OT,Stanford,,
2,43,New York Jets,Stephen Hill,WR,Georgia Tech,,From SEA
2,44,Kansas City Chiefs,Jeff Allen,OG,Illinois,,
2,45,Chicago Bears,Alshon Jeffery,WR,South Carolina,,From DAL through STL
2,46,Philadelphia Eagles,Mychal Kendricks,LB,California,,
2,47,Seattle Seahawks,Bobby Wagner,LB,Utah State,,From NYJ
2,48,New England Patriots,Tavon Wilson,DB,Illinois,,From OAK
