Rnd.,Pick #,NFL Team,Player,Pos.,College,Conf.,Notes
1,1,Cincinnati Bengals,Ki-Jana Carter,RB,Penn State,Big Ten,
1,2,Jacksonville Jaguars,Tony Boselli,OT,USC,Pac-10,
1,3,Houston Oilers,Steve McNair,QB,Alcorn State,SWAC,
1,4,Washington Redskins,Michael Westbrook,WR,Colorado,Big Eight,
1,5,Carolina Panthers,Kerry Collins,QB,Penn State,Big Ten,
1,6,St. Louis Rams,Kevin Carter,DE,Florida,SEC,
1,7,Philadelphia Eagles,Mike Mamula,DE,Boston College,Big East,
1,8,Seattle Seahawks,Joey Galloway,WR,Ohio State,Big Ten,
1,9,New York Jets,Kyle Brady,TE,Penn State,Big Ten,
1,10,San Francisco 49ers,J.J. Stokes,WR,UCLA,Pac-10,
1,11,Minnesota Vikings,Derrick Alexander,DE,Florida State,ACC,
1,12,Tampa Bay Buccaneers,Warren Sapp,DT,Miami (FL),Big East,
1,13,New Orleans Saints,Mark Fields,LB,Washington State,Pac-10,
1,14,Buffalo Bills,Ruben Brown,G,Pittsburgh,Big East,
1,15,Indianapolis Colts,Ellis Johnson,DT,Florida,SEC,
1,16,New York Jets,Hugh Douglas,DE,Central State,Ind. (NAIA),
1,17,New York Giants,Tyrone Wheatley,RB,Michigan,Big Ten,
1,18,Oakland Raiders,Napoleon Kaufman,RB,Washington,Pac-10,
1,19,Jacksonville Jaguars,James Stewart,RB,Tennessee,SEC,
1,20,Detroit Lions,Luther Elliss,DT,Utah,WAC,
1,21,Chicago Bears,Rashaan Salaam,RB,Colorado,Big Eight,1994 Heisman Trophy Winner
1,22,Carolina Panthers,Tyrone Poole,CB,Fort Valley State,SIAC,
1,23,New England Patriots,Ty Law,CB,Michigan,Big Ten,
1,24,Minnesota Vikings,Korey Stringer,OT,Ohio State,Big Ten,
1,25,Miami Dolphins,Billy Milner,OT,Houston,SWC,
1,26,Atlanta Falcons,Devin Bush,S,Florida State,ACC,
1,27,Pittsburgh Steelers,Mark Bruener,TE,Washington,Pac-10,
1,28,Tampa Bay Buccaneers,Derrick Brooks,LB,Florida State,ACC,
1,29,Carolina Panthers,Blake Brockermeyer,OT,Texas,SWC,
1,30,Cleveland Browns,Craig Powell,LB,Ohio State,Big Ten,
1,31,Kansas City Chiefs,Trezelle Jenkins,OT,Michigan,Big Ten,From Jacksonville
1,32,Green Bay Packers,Craig Newsome,CB,Arizona State,Pac-10,From Carolina
2,33,New York Jets,Matt O'Dwyer,G,Northwestern,Big Ten,
2,34,San Diego Chargers,Terrance Shaw,CB,Stephen F. Austin,Southland,
2,35,Houston Oilers,Anthony Cook,DT,South Carolina State,MEAC,
2,36,Carolina Panthers,Shawn King,DE,Louisiana–Monroe,Southland,
2,37,Washington Redskins,Cory Raymer,C,Wisconsin,Big Ten,
2,38,St. Louis Rams,Zach Wiegert,OT,Nebraska,Big Eight,
2,39,Seattle Seahawks,Christian Fauria,TE,Colorado,Big Eight,
2,40,Jacksonville Jaguars,Brian DeMarco,DT,Michigan State,Big Ten,
2,41,Atlanta Falcons,Ron Davis,CB,Tennessee,SEC,
2,42,Minnesota Vikings,Orlando Thomas,S,Southwestern Louisiana,Big West,
2,43,Tampa Bay Buccaneers,Melvin Johnson,S,Kentucky,SEC,
2,44,New Orleans Saints,Ray Zellars,FB,Notre Dame,Ind. (I-A),
2,45,Buffalo Bills,Todd Collins,QB,Michigan,Big Ten,
2,46,Dallas Cowboys,Sherman Williams,RB,Alabama,SEC,
2,47,Arizona Cardinals,Frank Sanders,WR,Auburn,SEC,
2,48,Indianapolis Colts,Ken Dilger,TE,Illinois,Big Ten,
2,49,Oakland Raiders,Barret Robbins,C,TCU,SWC,
2,50,Philadelphia Eagles,Bobby Taylor,CB,Notre Dame,Ind. (I-A),
2,51,San Diego Chargers,Terrell Fletcher,RB,Wisconsin,Big Ten,
2,52,Chicago Bears,Pat Riley ,DT,Miami (FL),Big East,
2,53,Miami Dolphins,Andrew Greene,G,Indiana,Big Ten,
2,54,New York Giants,Scott Gragg,OT,Montana,Big Sky,
2,55,Minnesota Vikings,Corey Fuller,CB,Florida State,ACC,
2,56,Chicago Bears,Todd Sauerbrun,P,West Virginia,Big East,
2,57,New England Patriots,Ted Johnson,LB,Colorado,Big Eight,
2,58,Philadelphia Eagles,Barrett Brooks,OT,Kansas State,Big Eight,
2,59,Dallas Cowboys,Kendell Watkins,TE,Mississippi State,SEC,
2,60,Pittsburgh Steelers,Kordell Stewart,QB,Colorado,Big Eight,
2,61,San Diego Chargers,Jimmy Oliver ,WR,TCU,SWC,
2,62,St. Louis Rams,Jesse James ,G,Mississippi State,SEC,
2,63,Dallas Cowboys,Shane Hannah,G,Michigan State,Big Ten,
2,63,Carolina Panthers,Stripped of pick for talking to Steelers DC Dom Capers about the Panthers' head-coaching job,,,,
2,64,Jacksonville Jaguars,Bryan Schwartz,LB,Augustana (SD),NCIAC,
3,65,Green Bay Packers,Darius Holland,DT,Colorado,Big Eight,
3,66,Green Bay Packers,William Henderson,FB,North Carolina,ACC,
3,67,Houston Oilers,Chris Sanders,WR,Ohio State,Big Ten,
3,68,Washington Redskins,Darryl Pounds,CB,Nicholls State,Southland,
3,69,Cincinnati Bengals,Melvin Tuten,OT,Syracuse,Big East,
3,70,Detroit Lions,David Sloan,TE,New Mexico,WAC,
3,71,Jacksonville Jaguars,Chris Hudson,S,Colorado,Big Eight,
3,72,Philadelphia Eagles,Greg Jefferson,DE,Central Florida,Ind. (I-AA),
3,73,Green Bay Packers,Brian Williams,LB,USC,Pac-10,
3,74,New England Patriots,Curtis Martin,RB,Pittsburgh,Big East,
3,75,New Orleans Saints,Mike Verstegen,OT,Wisconsin,Big Ten,
3,76,Buffalo Bills,Marlon Kerner,CB,Ohio State,Big Ten,
3,77,Atlanta Falcons,Lorenzo Styles,LB,Ohio State,Big Ten,
3,78,Philadelphia Eagles,Chris T. Jones,WR,Miami (FL),Big East,
3,79,Indianapolis Colts,Zack Crockett,FB,Florida State,ACC,
3,80,Arizona Cardinals,Stoney Case,QB,New Mexico,WAC,
3,81,Kansas City Chiefs,Tamarick Vanover,WR,Florida State,ACC,
3,82,St. Louis Rams,Steve McLaughlin,K,Arizona,Pac-10,
3,83,Chicago Bears,Sean Harris,LB,Arizona,Pac-10,
3,84,Cleveland Browns,Eric Zeier,QB,Georgia,SEC,
3,85,New York Giants,Rodney Young,CB,LSU,SEC,
3,86,Oakland Raiders,Joe Aska,RB,Central Oklahoma,Lone Star,
3,87,Chicago Bears,Evan Pilgrim,G,BYU,WAC,
3,88,New England Patriots,Jimmy Hitchcock,CB,North Carolina,ACC,
3,89,Houston Oilers,Rodney Thomas,RB,Texas A&M,SWC,
3,90,Green Bay Packers,Antonio Freeman,WR,Virginia Tech,Big East,
