Rnd.,Pick #,NFL Team,Player,Pos.,College,Conf.,Notes
1,1,Jacksonville Jaguars,Trevor Lawrence,QB,Clemson,,
1,2,New York Jets,Zach Wilson,QB,Brigham Young,,
1,3,San Francisco 49ers,Trey Lance,QB,North Dakota State,,From HOU through MIA
1,4,Atlanta Falcons,Kyle Pitts,TE,Florida,,
1,5,Cincinnati Bengals,Ja'Marr Chase,WR,Louisiana State,,
1,6,Miami Dolphins,Jaylen Waddle,WR,Alabama,,From PHI
1,7,Detroit Lions,Penei Sewell,OT,Oregon,,
1,8,Carolina Panthers,Jaycee Horn,DB,South Carolina,,
1,9,Denver Broncos,Patrick Surtain,DB,Alabama,,
1,10,Philadelphia Eagles,DeVonta Smith,WR,Alabama,,From DAL
1,11,Chicago Bears,Justin Fields,QB,Ohio State,,From NYG
1,12,Dallas Cowboys,Micah Parsons,DE,Penn State,,From SF through MIA and PHI
1,13,Los Angeles Chargers,Rashawn Slater,OT,Northwestern,,
1,14,New York Jets,Alijah Vera-Tucker,OG,Southern California,,From MIN
1,15,New England Patriots,Mac Jones,QB,Alabama,,
1,16,Arizona Cardinals,Zaven Collins,LB,Tulsa,,
1,17,Las Vegas Raiders,Alex Leatherwood,OG,Alabama,,
1,18,Miami Dolphins,Jaelan Phillips,LB,Miami,,
1,19,Washington Football Team,Jamin Davis,LB,Kentucky,,
1,20,New York Giants,Kadarius Toney,WR,Florida,,From CHI
1,21,Indianapolis Colts,Kwity Paye,DE,Michigan,,
1,22,Tennessee Titans,Caleb Farley,DB,Virginia Tech,,
1,23,Minnesota Vikings,Christian Darrisaw,OT,Virginia Tech,,From SEA through NYJ
1,24,Pittsburgh Steelers,Najee Harris,RB,Alabama,,
1,25,Jacksonville Jaguars,Travis Etienne,RB,Clemson,,From LA
1,26,Cleveland Browns,Greg Newsome,DB,Northwestern,,
1,27,Baltimore Ravens,Rashod Bateman,WR,Minnesota,,
1,28,New Orleans Saints,Payton Turner,DE,Houston,,
1,29,Green Bay Packers,Eric Stokes,DB,Georgia,,
1,30,Buffalo Bills,Gregory Rousseau,LB,Miami,,
1,31,Baltimore Ravens,Jayson Oweh,LB,Penn State,,From KC
1,32,Tampa Bay Buccaneers,Joe Tryon-Shoyinka,LB,Washington,,
2,33,Jacksonville Jaguars,Tyson Campbell,DB,Georgia,,
2,34,New York Jets,Elijah Moore,WR,Mississippi,,
2,35,Denver Broncos,Javonte Williams,RB,North Carolina,,From ATL
2,36,Miami Dolphins,Jevon Holland,DB,Oregon,,From HOU
2,37,Philadelphia Eagles,Landon Dickerson,OG,Alabama,,
2,38,New England Patriots,Christian Barmore,DT,Alabama,,From CIN
2,39,Chicago Bears,Teven Jenkins,OG,Oklahoma State,,From CAR
2,40,Atlanta Falcons,Richie Grant,DB,Central Florida,,From DEN
2,41,Detroit Lions,Levi Onwuzurike,DE,Washington,,
2,42,Miami Dolphins,Liam Eichenberg,OG,Notre Dame,,From NYG
2,43,Las Vegas Raiders,Tre'von Moehrig,DB,Texas Christian,,From SF
2,44,Dallas Cowboys,Kelvin Joseph,DB,Kentucky,,
2,45,Jacksonville Jaguars,Walker Little,OT,Stanford,,From MIN
2,46,Cincinnati Bengals,Jackson Carman,OT,Clemson,,From NE
2,47,Los Angeles Chargers,Asante Samuel,DB,Florida State,,
2,48,San Francisco 49ers,Aaron Banks,OG,Notre Dame,,From LV
2,49,Arizona Cardinals,Rondale Moore,WR,Purdue,,
2,50,New York Giants,Azeez Ojulari,LB,Georgia,,From MIA
2,51,Washington Football Team,Samuel Cosmi,OG,Texas,,
2,52,Cleveland Browns,Jeremiah Owusu-Koramoah,LB,Notre Dame,,From CHI through CAR
2,53,Tennessee Titans,Dillon Radunz,OT,North Dakota State,,
2,54,Indianapolis Colts,Dayo Odeyingbo,DE,Vanderbilt,,
2,55,Pittsburgh Steelers,Pat Freiermuth,TE,Penn State,,
2,56,Seattle Seahawks,D'Wayne Eskridge,WR,Western Michigan,,
2,57,Los Angeles Rams,Chatarius Atwell,WR,Louisville,,
2,58,Kansas City Chiefs,Nick Bolton,LB,Missouri,,From BAL
2,59,Carolina Panthers,Terrace Marshall,WR,Louisiana State,,From CLE
2,60,New Orleans Saints,Pete Werner,LB,Ohio State,,
2,61,Buffalo Bills,Carlos Basham,LB,Wake Forest,,
2,62,Green Bay Packers,Josh Myers,C,Ohio State,,
2,63,Kansas City Chiefs,Creed Humphrey,C,Oklahoma,,
2,64,Tampa Bay Buccaneers,Kyle Trask,QB,Florida,,
3,65,Jacksonville Jaguars,Andre Cisco,DB,Syracuse,,
3,66,Minnesota Vikings,Kellen Mond,QB,Texas A&M,,From NYJ
3,67,Houston Texans,Davis Mills,QB,Stanford,,
3,68,Atlanta Falcons,Jalen Mayfield,OG,Michigan,,
3,69,Cincinnati Bengals,Joseph Ossai,DE,Texas,,
3,70,Carolina Panthers,Brady Christensen,OG,Brigham Young,,From PHI
3,71,New York Giants,Aaron Robinson,DB,Central Florida,,From DEN
3,72,Detroit Lions,Alim McNeill,DT,North Carolina State,,
3,73,Philadelphia Eagles,Milton Williams,DT,Louisiana Tech,,From CAR
3,74,Washington Football Team,Benjamin St-Juste,DB,Minnesota,,From SF
3,75,Dallas Cowboys,Osa Odighizuwa,DT,UCLA,,
3,76,New Orleans Saints,Paulson Adebo,DB,Stanford,,From NYG through DEN
3,77,Los Angeles Chargers,Josh Palmer,WR,Tennessee,,
3,78,Minnesota Vikings,Chazz Surratt,LB,North Carolina,,
3,79,Las Vegas Raiders,Malcolm Koonce,DE,Buffalo,,From ARI
3,80,Las Vegas Raiders,Divine Deablo,LB,Virginia Tech,,
3,81,Miami Dolphins,Hunter Long,TE,Boston College,,
3,82,Washington Football Team,Dyami Brown,WR,North Carolina,,
3,83,Carolina Panthers,Tommy Tremble,TE,Notre Dame,,From CHI
3,84,Dallas Cowboys,Chauncey Golston,DE,Iowa,,From IND through PHI
3,85,Green Bay Packers,Amari Rodgers,WR,Clemson,,From TEN
3,86,Minnesota Vikings,Wyatt Davis,OG,Ohio State,,From SEA through NYJ
3,87,Pittsburgh Steelers,Kendrick Green,OG,Illinois,,
3,88,San Francisco 49ers,Trey Sermon,RB,Ohio State,,From LA
3,89,Houston Texans,Nico Collins,WR,Michigan,,From CLE through CAR
3,90,Minnesota Vikings,Patrick Jones,LB,Pittsburgh,,From BAL
3,91,Cleveland Browns,Anthony Schwartz,WR,Auburn,,From NO
3,92,Tennessee Titans,Monty Rice,LB,Georgia,,From GB
3,93,Buffalo Bills,Spencer Brown,OT,Northern Iowa,,
3,94,Baltimore Ravens,Ben Cleveland,OG,Georgia,,From KC
3,95,Tampa Bay Buccaneers,Robert Hainsey,C,Notre Dame,,
3,96,New England Patriots,Ronnie Perkins,DE,Oklahoma,,Compensatory Selection
3,97,Los Angeles Chargers,Tre' McKitty,TE,Georgia,,Compensatory Selection
3,98,Denver Broncos,Quinn Meinerz,OG,Wisconsin-Whitewater,,From NOCompensatory Selection
3,99,Dallas Cowboys,Nahshon Wright,DB,Oregon State,,Compensatory Selection
3,100,Tennessee Titans,Elijah Molden,DB,Washington,,Compensatory Selection
3,101,Detroit Lions,Ifeatu Melifonwu,DB,Syracuse,,From LACompensatory Selection
3,102,San Francisco 49ers,Ambry Thomas,DB,Michigan,,Compensatory Selection
3,103,Los Angeles Rams,Ernest Jones,LB,South Carolina,,Compensatory Selection
3,104,Baltimore Ravens,Brandon Stephens,DB,Southern Methodist,,Compensatory Selection
3,105,Denver Broncos,Baron Browning,LB,Ohio State,,From NOCompensatory Selection
4,106,Jacksonville Jaguars,Jay Tufele,DT,Southern California,,
4,107,New York Jets,Michael Carter,RB,North Carolina,,
4,108,Atlanta Falcons,Darren Hall,DB,San Diego State,,
4,109,Tennessee Titans,Dez Fitzpatrick,WR,Louisville,,From HOU through CAR
4,110,Cleveland Browns,James Hudson,OT,Cincinnati,,From PHI
4,111,Cincinnati Bengals,Cameron Sample,DE,Tulane,,
4,112,Detroit Lions,Amon-Ra St. Brown,WR,Southern California,,
4,113,Detroit Lions,Derrick Barnes,LB,Purdue,,From CAR through CLE
4,114,Atlanta Falcons,Drew Dalman,C,Stanford,,From DEN
4,115,Dallas Cowboys,Jabril Cox,LB,Louisiana State,,
4,116,New York Giants,Elerson Smith,LB,Northern Iowa,,
4,117,Los Angeles Rams,Bobby Brown,DT,Texas A&M,,From SF
4,118,Los Angeles Chargers,Chris Rumph,DE,Duke,,
4,119,Minnesota Vikings,Kene Nwangwu,RB,Iowa State,,
4,120,New England Patriots,Rhamondre Stevenson,RB,Oklahoma,,
4,121,Jacksonville Jaguars,Jordan Smith,DE,Alabama-Birmingham,,From LV through SF and LA
4,122,Cincinnati Bengals,Tyler Shelvin,DT,Louisiana State,,From ARI through HOU and NE
4,123,Philadelphia Eagles,Zech McPhearson,DB,Texas Tech,,From MIA
4,124,Washington Football Team,John Bates,TE,Boise State,,
4,125,Minnesota Vikings,Camryn Bynum,DB,California,,From CHI
4,126,Carolina Panthers,Chuba Hubbard,RB,Oklahoma State,,From TEN
4,127,Indianapolis Colts,Kylen Granson,TE,Southern Methodist,,
4,128,Pittsburgh Steelers,Dan Moore,OT,Texas A&M,,
4,129,Tampa Bay Buccaneers,Jaelon Darden,WR,North Texas,,From SEA
4,130,Los Angeles Rams,Robert Rochell,DB,Central Arkansas,,Reacquired through JAX
4,131,Baltimore Ravens,Tylan Wallace,WR,Oklahoma State,,
4,132,Cleveland Browns,Tommy Togiai,DT,Ohio State,,
4,133,New Orleans Saints,Ian Book,QB,Notre Dame,,
4,134,Minnesota Vikings,Janarius Robinson,DE,Florida State,,From BUF
