Rnd.,Pick #,NFL Team,Player,Pos.,College,Conf.,Notes
1,1,San Francisco 49ers,Alex Smith,QB,Utah,,
1,2,Miami Dolphins,Ronnie Brown,RB,Auburn,,
1,3,Cleveland Browns,Braylon Edwards,WR,Michigan,,
1,4,Chicago Bears,Cedric Benson,RB,Texas,,
1,5,Tampa Bay Buccaneers,Carnell Williams,RB,Auburn,,
1,6,Tennessee Titans,Adam Jones,DB,West Virginia,,
1,7,Minnesota Vikings,Troy Williamson,WR,South Carolina,,From OAK
1,8,Arizona Cardinals,Antrel Rolle,DB,Miami,,
1,9,Washington Redskins,Carlos Rogers,DB,Auburn,,
1,10,Detroit Lions,Mike Williams,WR,Southern California,,
1,11,Dallas Cowboys,Demarcus Ware,LB,Troy State,,
1,12,San Diego Chargers,Shawne Merriman,LB,Maryland,,From NYG
1,13,New Orleans Saints,Jammal Brown,OT,Oklahoma,,From HOU
1,14,Carolina Panthers,Thomas Davis,LB,Georgia,,
1,15,Kansas City Chiefs,Derrick Johnson,LB,Texas,,
1,16,Houston Texans,Travis Johnson,DT,Florida State,,From NO
1,17,Cincinnati Bengals,David Pollack,LB,Georgia,,
1,18,Minnesota Vikings,Erasmus James,DE,Wisconsin,,
1,19,St. Louis Rams,Alex Barron,OT,Florida State,,
1,20,Dallas Cowboys,Marcus Spears,DE,Louisiana State,,From BUF
1,21,Jacksonville Jaguars,Matt Jones,WR,Arkansas,,
1,22,Baltimore Ravens,Mark Clayton,WR,Oklahoma,,
1,23,Oakland Raiders,Fabian Washington,DB,Nebraska,,From SEA
1,24,Green Bay Packers,Aaron Rodgers,QB,California,,
1,25,Washington Redskins,Jason Campbell,QB,Auburn,,From DEN
1,26,Seattle Seahawks,Chris Spencer,C,Mississippi,,From NYJ through OAK
1,27,Atlanta Falcons,Roddy White,WR,Alabama-Birmingham,,
1,28,San Diego Chargers,Luis Castillo,DE,Northwestern,,
1,29,Indianapolis Colts,Marlin Jackson,DB,Michigan,,
1,30,Pittsburgh Steelers,Heath Miller,TE,Virginia,,
1,31,Philadelphia Eagles,Mike Patterson,DT,Southern California,,
1,32,New England Patriots,Logan Mankins,OG,Fresno State,,
2,33,San Francisco 49ers,David Baas,C,Michigan,,
2,34,Cleveland Browns,Brodney Pool,DB,Oklahoma,,
2,35,Philadelphia Eagles,Reggie Brown,WR,Georgia,,From MIA
2,36,Tampa Bay Buccaneers,Barrett Ruud,LB,Nebraska,,
2,37,Detroit Lions,Shaun Cody,DT,Southern California,,From TEN
2,38,Oakland Raiders,Stanford Routt,DB,Houston,,
2,39,Chicago Bears,Mark Bradley,WR,Oklahoma,,
2,40,New Orleans Saints,Josh Bullocks,DB,Nebraska,,From WAS
2,41,Tennessee Titans,Michael Roos,OT,Eastern Washington,,From DET
2,42,Dallas Cowboys,Kevin Burnett,LB,Tennessee,,
2,43,New York Giants,Corey Webster,DB,Louisiana State,,
2,44,Arizona Cardinals,J.J. Arrington,RB,California,,
2,45,Seattle Seahawks,Lofa Tatupu,LB,Southern California,,From CAR
2,46,Miami Dolphins,Matt Roth,LB,Iowa,,From KC
2,47,New York Jets,Mike Nugent,K,Ohio State,,From HOU through OAK
2,48,Cincinnati Bengals,Odell Thurman,LB,Georgia,,
2,49,Minnesota Vikings,Marcus Johnson,OT,Mississippi,,
2,50,St. Louis Rams,Ronald Bartell,DB,Howard,,
2,51,Green Bay Packers,Nick Collins,DB,Bethune-Cookman,,From NO
2,52,Jacksonville Jaguars,Khalif Barnes,OT,Washington,,
2,53,Baltimore Ravens,Dan Cody,DE,Oklahoma,,
2,54,Carolina Panthers,Eric Shelton,RB,Louisville,,From SEA
2,55,Buffalo Bills,Roscoe Parrish,WR,Miami,,
2,56,Denver Broncos,Darrent Williams,DB,Oklahoma State,,
2,57,New York Jets,Justin Miller,DB,Clemson,,
2,58,Green Bay Packers,Terrence Murphy,WR,Texas A&M,,
2,59,Atlanta Falcons,Jonathan Babineaux,DT,Iowa,,
2,60,Indianapolis Colts,Kelvin Hayden,DB,Illinois,,
2,61,San Diego Chargers,Vincent Jackson,WR,Northern Colorado,,
2,62,Pittsburgh Steelers,Bryant McFadden,DB,Florida State,,
2,63,Philadelphia Eagles,Matt McCoy,LB,San Diego State,,
2,64,Baltimore Ravens,Adam Terry,OT,Syracuse,,From NE
3,65,San Francisco 49ers,Frank Gore,RB,Miami,,
