Rnd.,Pick #,NFL Team,Player,Pos.,College,Conf.,Notes
4,131,Washington Redskins,Wes Martin,OG,Indiana,,From KC through BUF
4,132,Seattle Seahawks,Ugo Amadi,DB,Oregon,,From NO through NYG
4,133,New England Patriots,Jarrett Stidham,QB,Auburn,,From LA
4,134,Los Angeles Rams,Greg Gaines,DT,Washington,,From NE
4,135,Atlanta Falcons,John Cominsky,DE,Charleston,,From IND through OAKCompensatory Selection
4,136,Cincinnati Bengals,Michael Jordan,OG,Ohio State,,From DALCompensatory Selection
4,137,Oakland Raiders,Foster Moreau,TE,Louisiana State,,From ATLCompensatory Selection
4,138,Philadelphia Eagles,Shareef Miller,LB,Penn State,,Compensatory Selection
5,139,Arizona Cardinals,Deionte Thompson,DB,Alabama,,
5,140,Jacksonville Jaguars,Ryquell Armstead,RB,Temple,,From NYJ through OAK
5,141,Pittsburgh Steelers,Zach Gentry,TE,Michigan,,From OAK
5,142,Seattle Seahawks,Ben Burr-Kirven,LB,Washington,,From SF through DET and NYG
5,143,New York Giants,Ryan Connelly,LB,Wisconsin,,
5,144,Indianapolis Colts,Marvell Tell,DB,Southern California,,From JAX through CLE
5,145,Tampa Bay Buccaneers,Matt Gay,K,Utah,,
5,146,Detroit Lions,Amani Oruwariye,DB,Penn State,,
5,147,Buffalo Bills,Vosean Joseph,LB,Florida,,
5,148,San Francisco 49ers,Dre Greenlaw,LB,Arkansas,,From DEN
5,149,Oakland Raiders,Hunter Renfrow,WR,Clemson,,From CIN through DAL
5,150,Green Bay Packers,Kingsley Keke,DE,Texas A&M,,
5,151,Miami Dolphins,Andrew Van Ginkel,LB,Wisconsin,,
5,152,Atlanta Falcons,Qadree Ollison,RB,Pittsburgh,,
5,153,Washington Redskins,Ross Pierschbacher,C,Alabama,,
5,154,Carolina Panthers,Jordan Scarlett,RB,Florida,,
5,155,Cleveland Browns,Mack Wilson,LB,Alabama,,
5,156,Denver Broncos,Justin Hollins,LB,Oregon,,From MIN
5,157,New York Jets,Blake Cashman,LB,Minnesota,,From TEN
5,158,Dallas Cowboys,Michael Jackson,DB,Miami,,From PIT through OAK and BUF and OAK
5,159,New England Patriots,Byron Cowart,DT,Maryland,,From SEA through MIN
5,160,Baltimore Ravens,Daylon Mack,DT,Texas A&M,,
5,161,Houston Texans,Charles Omenihu,DE,Texas,,
5,162,Minnesota Vikings,Cameron Smith,LB,Southern California,,From CHI through NE and LA and NE
5,163,New England Patriots,Jake Bailey,P,Stanford,,From PHI
5,164,Indianapolis Colts,E.J. Speed,LB,Tarleton State,,
5,165,Dallas Cowboys,Joe Jackson,DE,Miami,,
5,166,Los Angeles Chargers,Easton Stick,QB,North Dakota State,,
5,167,Philadelphia Eagles,Clayton Thorson,QB,Northwestern,,From KC through LA and NE
5,168,Tennessee Titans,D'Andre Walker,LB,Georgia,,From NO through NYJ
5,169,Los Angeles Rams,David Edwards,OG,Wisconsin,,
5,170,Cleveland Browns,Austin Seibert,K,Oklahoma,,From NE
5,171,New York Giants,Darius Slayton,WR,Auburn,,Compensatory Selection
5,172,Atlanta Falcons,Jordan Miller,DB,Washington,,Compensatory Selection
5,173,Washington Redskins,Cole Holcomb,LB,North Carolina,,Compensatory Selection
6,174,Arizona Cardinals,KeeSean Johnson,WR,Fresno State,,
6,175,Pittsburgh Steelers,Sutton Smith,RB,Northern Illinois,,From OAK
6,176,San Francisco 49ers,Kaden Smith,TE,Stanford,,
6,177,New Orleans Saints,Saquan Hampton,DB,Rutgers,,From NYJ
6,178,Jacksonville Jaguars,Gardner Minshew,QB,Washington State,,
6,179,Arizona Cardinals,Lamont Gaillard,C,Georgia,,From TB
6,180,New York Giants,Corey Ballentine,DB,Washburn,,
6,181,Buffalo Bills,Jaquan Johnson,DB,Miami,,
6,182,Cincinnati Bengals,Trayveon Williams,RB,Texas A&M,,From DEN
6,183,San Francisco 49ers,Justin Skule,OT,Vanderbilt,,From CIN
6,184,Detroit Lions,Travis Fulgham,WR,Old Dominion,,
6,185,Green Bay Packers,Ka'dar Hollman,DB,Toledo,,
6,186,Detroit Lions,Ty Johnson,RB,Maryland,,From ATL
6,187,Denver Broncos,Juwann Winfree,WR,Colorado,,From CAR
6,188,Tennessee Titans,David Long,LB,West Virginia,,From MIA
6,189,Cleveland Browns,Drew Forbes,OG,Southeast Missouri State,,
6,190,Minnesota Vikings,Armon Watts,DT,Arkansas,,
6,191,Minnesota Vikings,Marcus Epps,DB,Wyoming,,From TEN through BAL
6,192,Pittsburgh Steelers,Isaiah Buggs,DT,Alabama,,
6,193,Minnesota Vikings,Olisaemeka Udoh,OG,Elon,,From BAL
6,194,Green Bay Packers,Dexter Williams,RB,Notre Dame,,From SEA
6,195,Houston Texans,Xavier Crawford,DB,Central Michigan,,
6,196,New York Jets,Blessuan Austin,DB,Rutgers,,From CHI through OAK
6,197,Baltimore Ravens,Trace McSorley,QB,Penn State,,From PHI
6,198,San Francisco 49ers,Tim Harris,DB,Virginia,,From DAL through CIN
6,199,Indianapolis Colts,Gerri Green,DE,Mississippi State,,
6,200,Los Angeles Chargers,Emeke Egbule,LB,Houston,,
6,201,Kansas City Chiefs,Rashad Fenton,DB,South Carolina,,
6,202,Miami Dolphins,Isaiah Prince,OT,Ohio State,,From NO
6,203,Atlanta Falcons,Marcus Green,WR,Louisiana-Monroe,,From LA
6,204,Seattle Seahawks,Travis Homer,RB,Miami,,From NE through DET and MIN
6,205,Chicago Bears,Duke Shelley,DB,Kansas State,,From NECompensatory Selection
6,206,Washington Redskins,Kelvin Harmon,WR,North Carolina State,,Compensatory Selection
6,207,Pittsburgh Steelers,Ulysees Gilbert,LB,Akron,,From ARICompensatory Selection
6,208,Tampa Bay Buccaneers,Scott Miller,WR,Bowling Green,,From PHICompensatory Selection
6,209,Seattle Seahawks,Demarcus Christmas,DT,Florida State,,From MINCompensatory Selection
6,210,Cincinnati Bengals,Deshaun Davis,LB,Auburn,,Compensatory Selection
6,211,Cincinnati Bengals,Rodney Anderson,RB,Oklahoma,,Compensatory Selection
6,212,Carolina Panthers,Dennis Daley,OT,South Carolina,,From SF through DENCompensatory Selection
6,213,Dallas Cowboys,Donovan Wilson,DB,Texas A&M,,From CINCompensatory Selection
6,214,Kansas City Chiefs,Darwin Thompson,RB,Utah State,,Compensatory Selection
7,215,Tampa Bay Buccaneers,Terry Beckner,DT,Missouri,,From ARI
7,216,Kansas City Chiefs,Nick Allegretti,OG,Illinois,,From SF
7,217,Minnesota Vikings,Kris Boyd,DB,Texas,,From NYJ
7,218,Dallas Cowboys,Mike Weber,RB,Ohio State,,From OAK
7,219,Pittsburgh Steelers,Derwin Gray,OT,Maryland,,From TB
7,220,Houston Texans,Cullen Gillaspia,RB,Texas A&M,,From NYG through DEN
7,221,Cleveland Browns,Donnie Lewis,DB,Tulane,,From JAX
7,222,Chicago Bears,Kerrith Whyte,RB,Florida Atlantic,,From DEN through PHI
7,223,Cincinnati Bengals,Jordan Brown,DB,South Dakota State,,
7,224,Detroit Lions,Isaac Nauta,TE,Georgia,,
7,225,Buffalo Bills,Darryl Johnson,DE,North Carolina A&T,,
7,226,Green Bay Packers,Ty Summers,LB,Texas Christian,,
7,227,Washington Redskins,Jimmy Moreland,DB,James Madison,,
7,228,Buffalo Bills,Tommy Sweeney,TE,Boston College,,From CAR
7,229,Detroit Lions,PJ Johnson,DT,Arizona,,From MIA
7,230,Oakland Raiders,Quinton Bell,LB,Prairie View A&M,,From ATL
7,231,New Orleans Saints,Alizé Mack,TE,Notre Dame,,From CLE
7,232,New York Giants,George Asafo-Adjei,OT,Kentucky,,From MIN
7,233,Miami Dolphins,Chandler Cox,RB,Auburn,,From TEN
