Rnd.,Pick #,NFL Team,Player,Pos.,College,Conf.,Notes
3,92,Cleveland Browns,Shawn Lauvao,OG,Arizona State,,From NYJ
3,93,Kansas City Chiefs,Tony Moeaki,TE,Iowa,,From MIN through HOU
3,94,Indianapolis Colts,Kevin Thomas,DB,Southern California,,
3,95,New Orleans Saints,Jimmy Graham,TE,Miami,,
3,96,Cincinnati Bengals,Brandon Ghee,DB,Wake Forest,,Compensatory Selection
3,97,Tennessee Titans,Rennie Curran,LB,Georgia,,Compensatory Selection
3,98,Atlanta Falcons,Mike Johnson,OG,Alabama,,Compensatory Selection
4,99,St. Louis Rams,Mardy Gilyard,WR,Cincinnati,,
4,100,Minnesota Vikings,Everson Griffen,DE,Southern California,,From DET
4,101,Tampa Bay Buccaneers,Mike Williams,WR,Syracuse,,
4,102,Houston Texans,Darryl Sharpton,LB,Miami,,From KC
4,103,Washington Redskins,Perry Riley,LB,Louisiana State,,
4,104,Tennessee Titans,Alterraun Verner,DB,UCLA,,From SEA
4,105,Philadelphia Eagles,Trevard Lindley,DB,Kentucky,,From CLE
4,106,Oakland Raiders,Bruce Campbell,OG,Maryland,,
4,107,Buffalo Bills,Marcus Easley,WR,Connecticut,,
4,108,Oakland Raiders,Jacoby Ford,WR,Clemson,,From JAX
4,109,Chicago Bears,Corey Wootton,DE,Northwestern,,
4,110,San Diego Chargers,Darrell Stuckey,DB,Kansas,,From MIA
4,111,Seattle Seahawks,Walter Thurmond,DB,Oregon,,From TEN
4,112,New York Jets,Joe McKnight,RB,Southern California,,From CAR
4,113,New England Patriots,Aaron Hernandez,TE,Florida,,From SF through DEN
4,114,Baltimore Ravens,Dennis Pitta,TE,Brigham Young,,From DEN
4,115,New York Giants,Phillip Dillard,LB,Nebraska,,
4,116,Pittsburgh Steelers,Thaddeus Gibson,DE,Ohio State,,
4,117,Atlanta Falcons,Joe Hawley,C,Nevada-Las Vegas,,
4,118,Houston Texans,Garrett Graham,TE,Wisconsin,,
4,119,Miami Dolphins,A.J. Edds,LB,Iowa,,From NE through DAL
4,120,Cincinnati Bengals,Geno Atkins,DT,Georgia,,
4,121,Philadelphia Eagles,Keenan Clayton,LB,Oklahoma,,
4,122,Philadelphia Eagles,Mike Kafka,QB,Northwestern,,From GB
4,123,New Orleans Saints,Al Woods,DT,Louisiana State,,From BAL through ARI
4,124,Carolina Panthers,Eric Norwood,DE,South Carolina,,From ARI through NYJ
4,125,Philadelphia Eagles,Clay Harbor,TE,Missouri State,,From DAL
4,126,Dallas Cowboys,Akwasi Owusu-Ansah,DB,Indiana (PA),,From SD through MIA
